"_id"	"_class"	"amount"	"availableNumber"	"departmentCode"	"doctorName"	"hospitalCode"	"hospitalScheduleId"	"reservedNumber"	"skill"	"status"	"title"	"workDate"	"workTime"
"608d6172d6089e216bd68702"	"com.xzx.model.entity.Schedule"	"100"	"22"	"200040878"	"邵迎红"	"1000_0"	"1"	"33"	"内分泌科常见病。"	"1"	"医师"	"12/12/2020 16:00:00"	"0"
"608d6172d6089e216bd68703"	"com.xzx.model.entity.Schedule"	"100"	"6"	"200040878"	"裴育"	"1000_0"	"2"	"40"	"骨质疏松和骨代谢疾病、糖尿病、甲状腺疾病。"	"1"	"副主任医师"	"21/12/2020 16:00:00"	"0"
"608d6172d6089e216bd68704"	"com.xzx.model.entity.Schedule"	"100"	"10"	"200040878"	"邵迎红"	"1000_0"	"3"	"27"	"内分泌与代谢性疾病。"	"1"	"副主任医师"	"21/12/2020 16:00:00"	"1"
"608d6172d6089e216bd68705"	"com.xzx.model.entity.Schedule"	"100"	"22"	"200040878"	"邵迎红"	"1000_0"	"4"	"33"	"内分泌科常见病。"	"1"	"医师"	"13/12/2020 16:00:00"	"0"
"608d6172d6089e216bd68706"	"com.xzx.model.entity.Schedule"	"100"	"6"	"200040878"	"裴育"	"1000_0"	"5"	"40"	"骨质疏松和骨代谢疾病、糖尿病、甲状腺疾病。"	"1"	"副主任医师"	"22/12/2020 16:00:00"	"0"
"608d6172d6089e216bd68707"	"com.xzx.model.entity.Schedule"	"100"	"10"	"200040878"	"邵迎红"	"1000_0"	"6"	"27"	"内分泌与代谢性疾病。"	"1"	"副主任医师"	"22/12/2020 16:00:00"	"1"
"608d6172d6089e216bd68708"	"com.xzx.model.entity.Schedule"	"100"	"22"	"200040878"	"邵迎红"	"1000_0"	"7"	"33"	"内分泌科常见病。"	"1"	"医师"	"14/12/2020 16:00:00"	"0"
"608d6172d6089e216bd68709"	"com.xzx.model.entity.Schedule"	"100"	"6"	"200040878"	"裴育"	"1000_0"	"8"	"40"	"骨质疏松和骨代谢疾病、糖尿病、甲状腺疾病。"	"1"	"副主任医师"	"23/12/2020 16:00:00"	"0"
"608d6172d6089e216bd6870a"	"com.xzx.model.entity.Schedule"	"100"	"10"	"200040878"	"邵迎红"	"1000_0"	"9"	"27"	"内分泌与代谢性疾病。"	"1"	"副主任医师"	"23/12/2020 16:00:00"	"1"
"608d6172d6089e216bd6870b"	"com.xzx.model.entity.Schedule"	"100"	"22"	"200040878"	"邵迎红"	"1000_0"	"10"	"33"	"内分泌科常见病。"	"1"	"医师"	"15/12/2020 16:00:00"	"0"
"608d6172d6089e216bd6870c"	"com.xzx.model.entity.Schedule"	"100"	"6"	"200040878"	"裴育"	"1000_0"	"11"	"40"	"骨质疏松和骨代谢疾病、糖尿病、甲状腺疾病。"	"1"	"副主任医师"	"24/12/2020 16:00:00"	"0"
"608d6172d6089e216bd6870d"	"com.xzx.model.entity.Schedule"	"100"	"10"	"200040878"	"邵迎红"	"1000_0"	"12"	"27"	"内分泌与代谢性疾病。"	"1"	"副主任医师"	"24/12/2020 16:00:00"	"1"
"608d6172d6089e216bd6870e"	"com.xzx.model.entity.Schedule"	"100"	"22"	"200040878"	"邵迎红"	"1000_0"	"13"	"33"	"内分泌科常见病。"	"1"	"医师"	"16/12/2020 16:00:00"	"0"
"608d6172d6089e216bd6870f"	"com.xzx.model.entity.Schedule"	"100"	"6"	"200040878"	"裴育"	"1000_0"	"14"	"40"	"骨质疏松和骨代谢疾病、糖尿病、甲状腺疾病。"	"1"	"副主任医师"	"25/12/2020 16:00:00"	"0"
"608d6172d6089e216bd68710"	"com.xzx.model.entity.Schedule"	"100"	"10"	"200040878"	"邵迎红"	"1000_0"	"15"	"27"	"内分泌与代谢性疾病。"	"1"	"副主任医师"	"25/12/2020 16:00:00"	"1"
"608d6172d6089e216bd68711"	"com.xzx.model.entity.Schedule"	"100"	"22"	"200040878"	"邵迎红"	"1000_0"	"16"	"33"	"内分泌科常见病。"	"1"	"医师"	"17/12/2020 16:00:00"	"0"
"608d6172d6089e216bd68712"	"com.xzx.model.entity.Schedule"	"100"	"6"	"200040878"	"裴育"	"1000_0"	"17"	"40"	"骨质疏松和骨代谢疾病、糖尿病、甲状腺疾病。"	"1"	"副主任医师"	"26/12/2020 16:00:00"	"0"
